budget,revenue,runtime,popularity,vote_count,vote_average,profit
0,0.0,108.0,0.531159,0.0,0.0,0.0
0,0.0,118.0,2.15166,17.0,6.3,0.0
38000000,10300000.0,129.0,9.568604,86.0,6.3,-27700000.0
16000000,0.0,88.0,4.814825,59.0,5.1,-16000000.0
0,32.0,87.0,8.963037,124.0,6.0,32.0
8169363,8175346.0,90.0,6.848591,190.0,6.1,5983.0
0,0.0,91.0,0.411424,3.0,6.7,0.0
47000000,12379402.0,104.0,12.866139,77.0,5.7,-34620598.0
14000000,19800000.0,100.0,9.071127,113.0,4.5,5800000.0
0,0.0,112.0,4.670562,103.0,6.6,0.0
50000000,150270147.0,108.0,14.957626,459.0,5.7,100270147.0
0,0.0,99.0,0.513391,6.0,7.5,0.0
3000000,0.0,98.0,12.108196,695.0,7.9,-3000000.0
0,0.0,105.0,2.657647,13.0,5.6,0.0
0,0.0,106.0,0.638211,4.0,6.8,0.0
0,0.0,111.0,4.807223,67.0,6.0,0.0
7000000,560069.0,91.0,6.904831,285.0,6.8,-6439931.0
0,0.0,96.0,3.329264,16.0,3.3,0.0
18000000,0.0,106.0,2.464425,22.0,5.3,-18000000.0
12000000,41205099.0,92.0,9.592265,767.0,6.5,29205099.0
24000000,182016617.0,135.0,5.951077,397.0,7.3,158016617.0
0,0.0,104.0,1.015068,5.0,5.1,0.0
0,34327391.0,100.0,6.902423,93.0,6.5,34327391.0
0,0.0,95.0,0.976707,2.0,7.0,0.0
0,0.0,110.0,0.001346,0.0,0.0,0.0
72000000,210000000.0,177.0,20.755149,3404.0,7.7,138000000.0
1300000,28262574.0,114.0,14.092713,2632.0,8.1,26962574.0
7500000,32392047.0,91.0,12.314278,245.0,6.5,24892047.0
35000000,0.0,108.0,2.938293,37.0,5.8,-35000000.0
0,0.0,114.0,0.372697,2.0,7.5,0.0
13365000,0.0,106.0,1.254885,23.0,7.0,-13365000.0
0,1.0,117.0,0.243986,4.0,7.3,1.0
0,0.0,99.0,6.178497,19.0,6.9,0.0
0,0.0,92.0,2.891918,11.0,5.4,0.0
25000000,6278139.0,113.0,1.522412,7.0,5.1,-18721861.0
0,0.0,100.0,1.317878,21.0,5.2,0.0
0,0.0,90.0,0.86539,7.0,7.0,0.0
40000000,70100000.0,117.0,6.506983,139.0,5.4,30100000.0
0,0.0,102.0,6.778979,249.0,7.9,0.0
0,0.0,113.0,1.702639,29.0,6.8,0.0
7000000,14702438.0,92.0,5.579088,66.0,6.3,7702438.0
17000000,0.0,95.0,6.252377,105.0,4.4,-17000000.0
0,0.0,116.0,0.406754,3.0,4.3,0.0
0,0.0,87.0,0.001178,0.0,0.0,0.0
0,0.0,95.0,0.699066,2.0,7.0,0.0
0,0.0,99.0,2.197439,9.0,5.6,0.0
0,0.0,101.0,0.637554,4.0,5.4,0.0
50000000,9851610.0,95.0,11.418917,45.0,5.1,-40148390.0
0,0.0,102.0,0.291021,1.0,5.5,0.0
0,0.0,87.0,0.001838,0.0,0.0,0.0
0,0.0,92.0,5.184977,110.0,5.6,0.0
0,0.0,97.0,0.276401,2.0,6.5,0.0
0,209935.0,86.0,0.540436,2.0,3.8,209935.0
0,0.0,91.0,0.370342,5.0,7.2,0.0
0,0.0,122.0,0.001205,0.0,0.0,0.0
60000000,0.0,119.0,3.402749,51.0,5.9,-60000000.0
31000000,185260553.0,117.0,6.49968,303.0,6.7,154260553.0
0,0.0,125.0,0.918504,2.0,7.0,0.0
0,0.0,98.0,2.039196,23.0,6.3,0.0
19000000,141407024.0,118.0,9.262184,1729.0,6.5,122407024.0
0,0.0,81.0,2.375865,31.0,5.0,0.0
0,0.0,102.0,7.415144,472.0,7.2,0.0
4000000,851545.0,113.0,0.922958,11.0,6.0,-3148455.0
0,0.0,105.0,1.759012,21.0,6.5,0.0
52000000,355237933.0,140.0,18.761467,1637.0,7.3,303237933.0
28000000,31596911.0,139.0,10.193549,151.0,6.5,3596911.0
0,0.0,82.0,3.137285,46.0,6.4,0.0
100000000,336529144.0,121.0,13.321354,1529.0,5.2,236529144.0
0,0.0,101.0,10.142662,163.0,7.3,0.0
0,0.0,100.0,2.04189,21.0,6.4,0.0
2000000,1275000.0,83.0,11.528147,28.0,6.8,-725000.0
11000000,178104.0,91.0,5.391556,57.0,5.9,-10821896.0
50000000,287928194.0,100.0,12.812539,1045.0,6.0,237928194.0
25000000,13071518.0,128.0,4.558992,69.0,6.8,-11928482.0
50000000,152022101.0,109.0,7.260574,214.0,5.0,102022101.0
53000000,157387195.0,116.0,8.657365,508.0,7.0,104387195.0
0,3174695.0,119.0,3.620388,71.0,7.6,3174695.0
7000000,25405445.0,104.0,6.950458,898.0,6.8,18405445.0
27000000,16140822.0,102.0,4.646132,88.0,6.3,-10859178.0
90000000,366101666.0,128.0,15.138855,2094.0,6.9,276101666.0
0,0.0,80.0,7.120806,57.0,5.6,0.0
0,0.0,116.0,0.523575,0.0,0.0,0.0
55000000,127600435.0,134.0,15.178338,319.0,5.9,72600435.0
0,0.0,95.0,7.575098,130.0,5.5,0.0
20000000,7563728.0,107.0,14.810519,406.0,6.2,-12436272.0
0,0.0,92.0,3.196456,19.0,6.5,0.0
25000000,19075720.0,97.0,11.715868,380.0,5.5,-5924280.0
90000000,113493481.0,96.0,8.184815,643.0,5.4,23493481.0
0,17014653.0,88.0,3.676921,34.0,4.0,17014653.0
1500000,7412216.0,91.0,4.877872,280.0,6.8,5912216.0
500000,1148752.0,89.0,10.058329,64.0,7.2,648752.0
0,0.0,119.0,4.102409,87.0,5.9,0.0
0,0.0,100.0,0.354014,7.0,7.0,0.0
0,15453274.0,95.0,2.624771,27.0,5.5,15453274.0
6000000,2122561.0,94.0,8.25547,400.0,6.8,-3877439.0
15000000,66000000.0,92.0,7.024227,153.0,5.2,51000000.0
0,0.0,100.0,1.01115,10.0,5.6,0.0
2,1.0,95.0,2.466066,36.0,6.4,-1.0
0,0.0,93.0,7.720056,12.0,5.9,0.0
22000000,110627965.0,114.0,13.304342,359.0,5.6,88627965.0
0,69660733.0,103.0,8.482834,171.0,5.5,69660733.0
150000,472370.0,94.0,1.165039,14.0,5.8,322370.0
8,16.0,98.0,10.187623,139.0,6.4,8.0
0,0.0,91.0,0.119713,1.0,10.0,0.0
0,0.0,119.0,8.180047,62.0,7.2,0.0
50000000,10382407.0,135.0,6.752119,111.0,5.5,-39617593.0
0,0.0,93.0,0.159596,2.0,5.3,0.0
45000000,20350754.0,128.0,17.502375,261.0,4.9,-24649246.0
7000000,8349430.0,112.0,5.552946,115.0,7.2,1349430.0
0,50892160.0,106.0,3.743212,60.0,5.7,50892160.0
35000000,113374103.0,108.0,13.492845,457.0,5.5,78374103.0
0,0.0,109.0,0.913522,6.0,6.6,0.0
42000000,7959291.0,145.0,11.223055,334.0,6.8,-34040709.0
0,0.0,91.0,8.133881,119.0,7.6,0.0
14000000,5780000.0,99.0,1.820419,9.0,4.6,-8220000.0
0,7025496.0,115.0,11.002046,18.0,6.1,7025496.0
0,339889.0,111.0,4.546552,112.0,6.5,339889.0
0,47774193.0,105.0,7.653446,117.0,6.3,47774193.0
60000000,104324083.0,100.0,7.490247,217.0,5.6,44324083.0
0,0.0,93.0,2.881689,9.0,6.4,0.0
0,0.0,73.0,0.786023,6.0,6.0,0.0
20000000,50012507.0,103.0,9.715639,168.0,6.5,30012507.0
175000000,264218220.0,135.0,16.885184,1017.0,5.9,89218220.0
8000000,0.0,89.0,1.834099,25.0,5.1,-8000000.0
30000000,0.0,98.0,8.922139,27.0,5.9,-30000000.0
0,0.0,97.0,3.727644,11.0,6.0,0.0
0,0.0,90.0,3.287036,29.0,4.9,0.0
2800000,2616503.0,135.0,2.486073,35.0,6.7,-183497.0
0,763847.0,113.0,3.525649,45.0,7.7,763847.0
2500000,5535405.0,105.0,11.304979,984.0,7.7,3035405.0
10000000,26488734.0,89.0,6.638116,464.0,6.2,16488734.0
0,0.0,90.0,2.761837,27.0,4.7,0.0
21000000,23450000.0,115.0,3.030309,48.0,6.3,2450000.0
0,0.0,97.0,2.686342,58.0,7.2,0.0
0,0.0,95.0,2.26977,40.0,5.8,0.0
0,0.0,103.0,2.605521,30.0,6.5,0.0
27000,3151130.0,92.0,10.513367,769.0,7.4,3124130.0
25000000,22200000.0,97.0,7.438934,184.0,6.3,-2800000.0
55000000,214015089.0,123.0,11.812244,217.0,5.9,159015089.0
0,0.0,0.0,0.155859,1.0,2.5,0.0
45000000,0.0,101.0,9.579155,91.0,5.1,-45000000.0
0,0.0,0.0,0.710671,9.0,5.3,0.0
0,0.0,103.0,5.484156,92.0,7.1,0.0
0,0.0,132.0,5.8025,183.0,7.1,0.0
16000000,247275374.0,107.0,9.844558,1894.0,6.5,231275374.0
0,7294403.0,123.0,4.860016,76.0,7.5,7294403.0
0,0.0,103.0,5.378467,64.0,6.5,0.0
0,6841570.0,113.0,4.322726,28.0,4.3,6841570.0
18000000,5887457.0,127.0,11.720358,639.0,7.3,-12112543.0
0,0.0,111.0,9.146544,179.0,6.2,0.0
0,0.0,101.0,16.236745,38.0,6.1,0.0
0,0.0,87.0,2.657337,27.0,5.6,0.0
0,35348597.0,78.0,10.177977,404.0,6.7,35348597.0
15000000,12201255.0,103.0,8.182165,24.0,5.0,-2798745.0
0,0.0,96.0,4.953936,48.0,6.6,0.0
0,0.0,111.0,8.935058,20.0,5.9,0.0
0,3992809.0,90.0,0.398924,4.0,3.0,3992809.0
0,0.0,77.0,0.090452,2.0,5.0,0.0
0,0.0,109.0,1.012197,9.0,5.4,0.0
700000,7830611.0,171.0,9.47666,91.0,7.7,7130611.0
5000000,3049135.0,99.0,9.438042,299.0,6.9,-1950865.0
10500000,26325256.0,113.0,2.688562,17.0,6.0,15825256.0
120,0.0,121.0,7.983666,90.0,6.9,-120.0
0,17689177.0,100.0,9.546707,97.0,6.0,17689177.0
0,0.0,106.0,2.756986,25.0,6.0,0.0
25000000,0.0,100.0,5.146352,112.0,5.9,-25000000.0
60000000,223664608.0,123.0,11.970205,1558.0,7.2,163664608.0
14000000,2474000.0,139.0,1.596058,10.0,5.2,-11526000.0
0,0.0,82.0,0.748846,10.0,4.8,0.0
60000000,37000000.0,109.0,6.710215,381.0,4.7,-23000000.0
0,0.0,102.0,9.195256,124.0,6.0,0.0
0,0.0,89.0,5.874511,40.0,4.3,0.0
40000000,0.0,101.0,7.797512,83.0,5.7,-40000000.0
11000000,775398007.0,121.0,42.149697,6778.0,8.1,764398007.0
18000000,0.0,115.0,9.774994,222.0,7.0,-18000000.0
17000000,0.0,97.0,7.731725,207.0,7.4,-17000000.0
0,0.0,101.0,0.84508,14.0,7.4,0.0
10000000,0.0,100.0,1.948315,22.0,6.6,-10000000.0
2000000,21665468.0,105.0,4.126083,70.0,6.6,19665468.0
30000000,160638883.0,133.0,12.199047,636.0,7.2,130638883.0
0,0.0,95.0,9.253362,164.0,6.1,0.0
0,0.0,98.0,1.861292,31.0,6.4,0.0
0,0.0,92.0,1.788829,9.0,5.7,0.0
60000000,0.0,108.0,3.290192,11.0,4.3,-60000000.0
17000000,7603766.0,106.0,7.698526,28.0,6.4,-9396234.0
0,0.0,107.0,4.81307,67.0,6.7,0.0
45000000,112006296.0,123.0,14.287753,272.0,6.1,67006296.0
0,0.0,96.0,2.558118,40.0,5.1,0.0
15000000,0.0,97.0,2.899608,37.0,5.2,-15000000.0
0,18137661.0,108.0,3.770115,49.0,5.6,18137661.0
0,46264384.0,114.0,5.831622,199.0,6.4,46264384.0
6,5.0,95.0,1.137266,7.0,5.6,-1.0
5500000,0.0,128.0,3.121288,11.0,7.0,-5500000.0
0,17381942.0,122.0,9.518564,140.0,6.9,17381942.0
0,0.0,110.0,2.891269,56.0,7.0,0.0
31000000,106683817.0,112.0,5.930957,128.0,6.1,75683817.0
0,0.0,98.0,0.629955,7.0,6.9,0.0
0,0.0,93.0,0.004537,0.0,0.0,0.0
4800000,0.0,89.0,0.426952,4.0,4.0,-4800000.0
0,0.0,83.0,1.466491,10.0,4.6,0.0
0,0.0,100.0,0.769522,4.0,7.4,0.0
34000000,50282766.0,119.0,11.226856,927.0,6.9,16282766.0
0,0.0,115.0,4.936761,92.0,6.4,0.0
0,2201126.0,99.0,4.025276,106.0,7.6,2201126.0
0,0.0,106.0,6.448039,32.0,4.6,0.0
50000000,189859560.0,127.0,13.676444,522.0,6.4,139859560.0
16000000,45284974.0,110.0,20.477329,4293.0,8.2,29284974.0
11000000,2832826.0,113.0,1.433544,9.0,6.6,-8167174.0
0,0.0,94.0,0.463307,2.0,7.0,0.0
8000000,213928762.0,154.0,140.950236,8670.0,8.3,205928762.0
0,6834525.0,124.0,7.160149,6.0,6.4,6834525.0
400000,152322.0,105.0,1.638622,9.0,6.1,-247678.0
0,4176932.0,98.0,1.881932,32.0,6.4,4176932.0
0,0.0,133.0,7.772505,262.0,7.1,0.0
0,0.0,94.0,1.296912,5.0,7.4,0.0
0,0.0,162.0,4.405405,67.0,7.0,0.0
32000000,18552460.0,107.0,7.54701,431.0,6.2,-13447540.0
22000000,12400000.0,108.0,3.395867,7.0,6.4,-9600000.0
15000000,11300653.0,133.0,6.259433,33.0,5.3,-3699347.0
0,0.0,99.0,7.832755,246.0,7.8,0.0
0,0.0,98.0,8.843517,311.0,7.7,0.0
0,0.0,91.0,6.5898,218.0,7.3,0.0
0,0.0,111.0,0.078257,2.0,7.0,0.0
0,0.0,85.0,1.155255,15.0,5.1,0.0
0,0.0,90.0,0.499601,3.0,4.7,0.0
0,0.0,95.0,1.390885,6.0,5.0,0.0
35000000,9771658.0,89.0,8.910462,251.0,6.5,-25228342.0
0,0.0,97.0,1.750481,15.0,6.1,0.0
45000000,170362582.0,110.0,10.388183,317.0,5.5,125362582.0
55000000,196567262.0,121.0,13.328924,942.0,6.8,141567262.0
22000000,189833357.0,97.0,9.665424,501.0,6.3,167833357.0
25000000,28341469.0,142.0,51.645403,8358.0,8.5,3341469.0
0,0.0,92.0,8.223026,247.0,7.0,0.0
0,102780.0,96.0,1.298224,7.0,6.0,102780.0
0,0.0,108.0,1.777197,16.0,7.1,0.0
0,0.0,101.0,5.869261,104.0,6.7,0.0
32,0.0,100.0,1.407427,21.0,6.0,-32.0
0,0.0,91.0,5.05806,23.0,5.7,0.0
0,0.0,125.0,5.260627,62.0,7.7,0.0
25000000,4064495.0,98.0,7.602087,140.0,5.5,-20935505.0
0,0.0,92.0,9.455342,96.0,6.7,0.0
38000000,120000000.0,118.0,8.105708,461.0,6.4,82000000.0
6000000,12000000.0,98.0,2.86007,33.0,5.4,6000000.0
0,0.0,115.0,0.704204,8.0,5.8,0.0
0,0.0,99.0,6.529879,165.0,5.6,0.0
0,32648673.0,97.0,11.971318,321.0,6.8,32648673.0
0,0.0,119.0,7.039846,15.0,6.1,0.0
6500000,0.0,99.0,2.059771,15.0,5.6,-6500000.0
0,0.0,88.0,0.620873,4.0,6.6,0.0
11000000,10032765.0,118.0,10.3919,943.0,7.5,-967235.0
30000000,24048000.0,106.0,5.188399,163.0,5.4,-5952000.0
17000000,182057016.0,103.0,15.783615,340.0,6.5,165057016.0
0,0.0,126.0,3.908596,39.0,6.3,0.0
0,759393.0,87.0,0.372239,2.0,5.5,759393.0
3000000,15119639.0,106.0,5.254847,104.0,6.9,12119639.0
0,0.0,94.0,2.15805,23.0,5.3,0.0
15000000,107217396.0,86.0,11.247957,1684.0,6.4,92217396.0
0,11220670.0,104.0,8.328596,174.0,7.2,11220670.0
0,0.0,100.0,2.487951,37.0,6.2,0.0
5000000,1862805.0,139.0,11.298195,115.0,7.0,-3137195.0
0,0.0,98.0,5.72288,130.0,7.0,0.0
62000000,215887717.0,141.0,7.513245,390.0,6.4,153887717.0
45000000,117615211.0,119.0,15.263829,287.0,6.4,72615211.0
0,0.0,115.0,6.924689,83.0,6.4,0.0
0,0.0,115.0,2.533022,31.0,6.7,0.0
15000000,94000000.0,102.0,15.799336,980.0,7.3,79000000.0
0,1007583.0,128.0,2.583363,29.0,6.1,1007583.0
46000000,341631208.0,91.0,15.019586,559.0,5.0,295631208.0
55000000,677945399.0,142.0,48.307194,8147.0,8.2,622945399.0
6000000,254700832.0,117.0,8.990345,654.0,6.6,248700832.0
0,38290723.0,127.0,7.817811,49.0,6.4,38290723.0
0,1777020.0,104.0,0.289295,4.0,6.3,1777020.0
45000000,61947267.0,123.0,3.570874,41.0,5.3,16947267.0
0,0.0,101.0,11.272073,154.0,6.1,0.0
0,0.0,111.0,10.714235,107.0,5.9,0.0
0,449707.0,180.0,0.568884,5.0,7.3,449707.0
45000000,788241776.0,89.0,21.605761,5520.0,8.0,743241776.0
35000000,4858139.0,140.0,5.681522,76.0,6.0,-30141861.0
14000000,18090181.0,112.0,9.860522,297.0,6.4,4090181.0
23000000,351583407.0,101.0,14.13488,2550.0,6.6,328583407.0
0,0.0,127.0,15.050326,490.0,6.6,0.0
0,0.0,125.0,4.739054,20.0,6.3,0.0
30000000,51132598.0,83.0,10.587232,535.0,6.4,21132598.0
6000000,0.0,112.0,4.006063,40.0,6.1,-6000000.0
11500000,20079850.0,99.0,6.514592,180.0,6.5,8579850.0
8000000,2000000.0,98.0,5.137903,71.0,6.4,-6000000.0
40000000,0.0,95.0,6.595255,426.0,5.4,-40000000.0
0,0.0,98.0,4.931565,7.0,4.9,0.0
45000000,0.0,111.0,10.511241,214.0,6.1,-45000000.0
30000000,350448145.0,116.0,10.859292,1814.0,6.8,320448145.0
0,0.0,99.0,2.334226,24.0,5.5,0.0
27000000,101646581.0,99.0,8.907074,288.0,5.5,74646581.0
115000000,378882411.0,141.0,11.396099,1138.0,6.8,263882411.0
0,50021959.0,126.0,4.322544,71.0,6.0,50021959.0
0,0.0,125.0,14.063845,221.0,6.0,0.0
63000000,25052000.0,191.0,9.277147,203.0,6.5,-37948000.0
0,0.0,108.0,0.912415,12.0,4.9,0.0
0,953.0,99.0,0.406113,2.0,6.5,953.0
0,0.0,96.0,2.504529,22.0,6.1,0.0
10000000,29392418.0,100.0,3.021526,31.0,6.0,19392418.0
0,0.0,91.0,0.054148,1.0,2.0,0.0
0,0.0,110.0,0.934312,9.0,5.9,0.0
45000,0.0,83.0,4.220541,59.0,6.5,-45000.0
7000000,20851521.0,119.0,0.912909,9.0,5.9,13851521.0
0,0.0,61.0,0.381704,8.0,7.1,0.0
35000000,99423521.0,102.0,13.58449,330.0,4.1,64423521.0
0,0.0,92.0,2.342756,13.0,6.7,0.0
0,0.0,97.0,0.251223,0.0,0.0,0.0
0,0.0,88.0,1.108494,6.0,6.3,0.0
0,0.0,98.0,0.268043,7.0,3.4,0.0
0,0.0,89.0,0.142357,4.0,7.5,0.0
0,0.0,89.0,0.405392,1.0,10.0,0.0
0,0.0,97.0,0.014925,0.0,0.0,0.0
0,0.0,92.0,0.302957,1.0,4.0,0.0
0,0.0,97.0,0.012456,0.0,0.0,0.0
0,0.0,0.0,0.233376,1.0,5.0,0.0
0,0.0,115.0,0.0368,1.0,4.0,0.0
26000000,36800000.0,99.0,6.866634,110.0,4.5,10800000.0
0,0.0,97.0,0.100685,2.0,5.0,0.0
8000000,8946600.0,95.0,8.497643,307.0,7.1,946600.0
0,0.0,105.0,1.888534,22.0,7.2,0.0
0,0.0,96.0,4.38154,40.0,6.7,0.0
0,48919043.0,94.0,17.555909,537.0,6.5,48919043.0
0,0.0,84.0,0.394194,4.0,4.5,0.0
34000000,32255440.0,139.0,8.013617,172.0,7.0,-1744560.0
0,0.0,92.0,7.09232,222.0,5.8,0.0
17080000,21011500.0,107.0,1.896273,42.0,5.1,3931500.0
0,0.0,105.0,12.967239,58.0,4.9,0.0
0,15240435.0,99.0,14.644772,61.0,4.6,15240435.0
3200000,0.0,100.0,1.632711,20.0,6.6,-3200000.0
40000000,0.0,122.0,2.783872,15.0,5.0,-40000000.0
0,0.0,93.0,5.673735,86.0,5.0,0.0
50000000,119208989.0,104.0,11.787784,445.0,5.5,69208989.0
0,0.0,88.0,8.398845,68.0,6.6,0.0
0,16668552.0,106.0,3.00282,45.0,6.3,16668552.0
0,30156002.0,121.0,13.155071,126.0,6.0,30156002.0
0,0.0,108.0,6.131056,41.0,5.7,0.0
0,0.0,101.0,4.993829,28.0,6.1,0.0
13000000,428868.0,87.0,6.559693,102.0,5.8,-12571132.0
0,1796389.0,107.0,4.304224,59.0,4.5,1796389.0
22000000,17287898.0,121.0,6.115628,447.0,7.4,-4712102.0
0,3662459.0,80.0,1.679042,28.0,4.9,3662459.0
13000000,2570145.0,90.0,1.316741,10.0,3.7,-10429855.0
30000000,36516012.0,144.0,8.698509,805.0,7.7,6516012.0
0,0.0,116.0,8.605703,103.0,4.9,0.0
0,7355425.0,107.0,2.724621,25.0,5.7,7355425.0
70000000,255000211.0,112.0,9.830853,600.0,6.1,185000211.0
0,0.0,88.0,10.722729,228.0,4.8,0.0
40000000,19726050.0,121.0,14.228963,117.0,5.4,-20273950.0
0,0.0,93.0,7.042878,36.0,5.0,0.0
0,0.0,102.0,4.286279,38.0,5.1,0.0
0,0.0,108.0,2.70097,9.0,5.4,0.0
0,63000000.0,110.0,13.696394,205.0,6.3,63000000.0
6900000,7993039.0,102.0,6.8652,588.0,7.4,1093039.0
57000000,159055768.0,115.0,11.626116,1018.0,6.4,102055768.0
0,0.0,109.0,0.408159,12.0,7.1,0.0
8000000,0.0,96.0,2.970724,29.0,4.2,-8000000.0
0,0.0,91.0,3.555139,37.0,5.4,0.0
0,0.0,171.0,4.875827,98.0,7.8,0.0
0,0.0,97.0,1.344876,6.0,3.3,0.0
0,0.0,122.0,9.284624,80.0,6.8,0.0
0,0.0,88.0,0.985441,11.0,5.8,0.0
0,0.0,103.0,2.969003,54.0,6.1,0.0
0,9488998.0,126.0,1.896869,22.0,6.2,9488998.0
0,0.0,101.0,0.409427,3.0,4.3,0.0
30000000,11146270.0,94.0,8.468869,77.0,5.7,-18853730.0
42000000,270248367.0,154.0,9.678367,513.0,6.6,228248367.0
20000000,153698625.0,112.0,5.990572,429.0,6.0,133698625.0
0,0.0,114.0,3.970215,56.0,7.6,0.0
44000000,368875760.0,130.0,10.08937,1240.0,7.2,324875760.0
35000000,18635620.0,115.0,4.653462,44.0,5.9,-16364380.0
0,30.0,115.0,14.214403,81.0,5.4,30.0
30000000,0.0,109.0,2.410545,43.0,4.5,-30000000.0
0,0.0,83.0,0.775898,5.0,3.9,0.0
0,0.0,94.0,5.22583,11.0,5.2,0.0
0,22886222.0,107.0,5.385108,21.0,5.6,22886222.0
18000000,74189677.0,97.0,7.834351,237.0,6.1,56189677.0
33000000,0.0,140.0,4.190541,51.0,6.4,-33000000.0
25000000,133752825.0,86.0,13.482371,463.0,6.2,108752825.0
